,price,price_per_m,postal_code,location,type,area,room
814,369 000,3 690 ,97111, Morne-à-l'Eau,Maison,100,4
815,385 000,2 873 ,34420, Cers,Maison,134,5
816,183 000,5 382 ,93160, Noisy-le-Grand (Nord),Appartement,34,1
817,374 365,1 800 ,22000, Saint-Brieuc (Centre-ville - Saint-Michel - Le Légué - Notre-Dame),Maison,200,7
818,850 000,6 589 ,83500, La Seyne-sur-Mer (Est),Appartement,129,5
819,3 200 000,"17,6k ",06230, Villefranche-sur-Mer,Maison,182,5
820,1 200 000,7 965 ,06100, Nice (Saint-Pancrace),Maison,151,5
821,1 296 000,"12,3k ",06000, Nice (Promenade des Anglais - Rue de France),Appartement,97,3
822,440 000,4 314 ,92320, Châtillon (Matisse - Pierrelais),Appartement,102,4
823,845 000,8 895 ,93100, Montreuil (Bas Montreuil - Bobillot),Maison,95,5
824,200 000,3 571 ,93600, Aulnay-sous-Bois (Ouest Edgar Degas),Appartement,56,3
825,398 000,3 367 ,69003, Lyon 3e (Monchat),Appartement,118,5
826,449 500,4 833 ,94700, Maisons-Alfort (Centre-ville),Appartement,93,4
827,265 000,1 934 ,42540, Saint-Just-la-Pendue,Maison,137,5
828,248 000,2 481 ,83000, Toulon (Haute-ville),Appartement,100,5
829,440 000,9 773 ,75012, Paris 12e (Jardin de Reuilly),Appartement,44,3
830,2 650 000,"13,9k ",06000, Nice (Mont-Boron),Maison,190,6
831,240 000,9 324 ,75011, Paris 11e (Léon-Blum - Folie-Regnault),Appartement,25,1
832,398 000,3 373 ,38000, Grenoble (Championnet),Appartement,118,4
833,230 000,3 286 ,69100, Villeurbanne,Appartement,70,3
834,289 000,1 868 ,57000, Metz (Magny),Maison,147,6
835,150 000,3 019 ,63610, Besse-et-Saint-Anastaise,Appartement,50,4
836,180 000,3 600 ,44300, Nantes (La Jonelière - Le Petit Port),Appartement,50,2
837,358 900,3 323 ,44800, Saint-Herblain (Nord),Maison,108,6
838,675 000,9 155 ,75014, Paris 14e (Pernety),Appartement,71,3
839,148 000,3 610 ,21000, Dijon (Centre-ville),Appartement,41,2
840,579 000,"10,7k ",75017, Paris 17e (Legendre - Lévis),Appartement,54,3
841,152 250,1 218 ,72300, Juigné-sur-Sarthe,Maison,119,4
842,346 500,3 047 ,44200, Nantes (Ile de Nantes),Appartement,108,4
843,340 000,5 231 ,06200, Nice (Caucade),Appartement,65,3
844,265 000,3 397 ,66000, Perpignan (La Gare),Maison,78,4
845,660 000,6 346 ,06000, Nice (Thiers - Musicien),Appartement,104,4
846,49 000,1 000 ,42000, Saint-Étienne (Tardy - Colline des Pères - Bizillon),Appartement,49,2
847,82 850,1 479 ,42000, Saint-Étienne (Crêt de Roc),Appartement,56,2
848,1 280 000,5 814 ,75015, Paris 15e (Alleray - Procession),Appartement,215,5
849,239 000,8 852 ,92100, Boulogne-Billancourt (Silly - Gallieni),Appartement,27,2
850,303 000,3 788 ,69200, Vénissieux (Parilly),GRAND,80,4
851,354 000,4 726 ,95170, Deuil-la-Barre (Mortefontaines),Appartement,75,4
852,354 000,4 726 ,95170, Deuil-la-Barre (Mortefontaines),Appartement,75,4
853,592 000,5 920 ,69200, Vénissieux (Parilly),GRAND,100,5
854,655 000,7 596 ,69006, Lyon 6e (Les Brotteaux),SECTEUR,86,4
855,659 000,6 590 ,69110, Sainte-Foy-lès-Lyon (La Plaine - Chantegrillet),LIVRAISON,100,4
856,705 000,5 551 ,69008, Lyon 8e (Grand Trou - Moulin à vent - Petite Guille),MOULIN,127,5
857,1 100 000,"10,1k ",69006, Lyon 6e (Les Brotteaux),SECTEUR,109,5
858,296 000,5 193 ,93100, Montreuil (Signac - Mûrs à Pêches),Appartement,57,3
859,499 900,6 492 ,93500, Pantin (Verpantin - Sept Arpents),Appartement,77,4
860,485 000,3 345 ,94500, Champigny-sur-Marne (Coeuilly Village Parisien),Maison,139,7
861,220 000,6 637 ,06310, Beaulieu-sur-Mer,Studio,33,
862,650 000,6 842 ,94340, Joinville-le-Pont (Palissy),Maison,95,4
863,222 000,2 561 ,68200, Mulhouse (Bourtzwiller),Maison,82,4
864,298 000,4 375 ,65100, Ossen,Maison,64,3
865,81 000,600 ,67220, Bassemberg,Appartement,135,5
866,635 000,5 000 ,06800, Cagnes-sur-Mer (La Gare - Les Plans - Hippodrome),Appartement,127,5
867,515 000,9 717 ,75012, Paris 12e (Nation - Picpus),Appartement,53,3
868,538 900,4 899 ,44100, Nantes (Canclaux - Mellinet),Maison,110,5
869,540 000,9 818 ,75016, Paris 16e (Passy - Maison de la Radio - Muette-Sud),Appartement,55,2
870,800 000,"10,7k ",75009, Paris 9e (Trudaine - Rochechouart),Appartement,75,3
871,470 000,4 564 ,44000, Nantes (Doulon - Bottières - Toutes Aides - Le Grand Blottereau),Maison,99,5
872,340 000,4 143 ,93200, Saint-Denis (Franc-Moisin - Bel-Air),Appartement,82,4
873,525 000,6 563 ,06200, Nice (Fabron),Appartement,80,3
874,339 000,6 780 ,06300, Nice (Le Port),Appartement,50,2
875,425 000,4 966 ,69007, Lyon 7e (Guillotière),Appartement,86,3
876,695 000,4 542 ,69210, Lentilly,Maison,153,6
